@relation TrainningSet
@attribute 0 real 
@attribute 1 real 
@attribute 2 real 
@attribute 3 real 
@attribute 4 real 
@attribute 5 real 
@attribute 6 real 
@attribute 7 real 
@attribute 8 real 
@attribute 9 real 
@attribute 10 real 
@attribute 11 real 
@attribute 12 real 
@attribute 13 real 
@attribute 14 real 
@attribute 15 real 
@attribute 16 real 
@attribute 17 real 
@attribute 18 real 
@attribute class {0,1,2,3,4,5,6}
@data
163,68,0,0,0,1.8333,2.2111,1.5556,0.96296,56.7778,52,68.2222,50.1111,-14.3333,34.3333,-20,68.2222,0.26505,-1.9843,1
140,73,0,0,0,1.7222,0.82776,0.77778,1.0037,46.2963,45.6667,51.1111,42.1111,-1.8889,14.4444,-12.5556,51.1111,0.17616,-1.6816,1
236,117,0,0,0,0.77778,0.40369,1.2778,0.74287,45.8889,39.5556,58.4444,39.6667,-19,37.6667,-18.6667,58.4444,0.33048,-2.0995,1
112,90,0,0,0,7.3889,6.9456,1.2778,0.87981,65.1852,57.6667,79.7778,58.1111,-22.5556,43.7778,-21.2222,79.7778,0.27835,-2.1088,1
197,121,0,0,0,21.6667,17.3628,0.94444,0.90472,41.037,37.4444,49.4444,36.2222,-10.7778,25.2222,-14.4444,49.4444,0.28058,-1.9955,1
141,17,0,0.11111,0.22222,3.7222,4.4493,5,2.319,44.5926,40.3333,54,39.4444,-12.7778,28.2222,-15.4444,54,0.26819,-2.03,1
208,65,0,0,0,1.3889,1.2368,26.4444,25.5375,56.7037,52.6667,64.4444,53,-12.1111,23.2222,-11.1111,64.4444,0.19713,-1.9708,1
189,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
210,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
243,94,0,0,0,0.66667,0.31111,0.22222,0.02963,1.1852,0.22222,3.2222,0.11111,-2.8889,6.1111,-3.2222,3.2222,0.97778,-2.0712,6
226,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
43,152,0,0,0,1.9444,1.7074,1.2222,0.82963,1.5185,1,2.8889,0.66667,-1.5556,4.1111,-2.5556,2.8889,0.64868,-1.9332,6
54,133,0,0,0,1.5556,1.0074,0.5,0.34444,5.3704,3.6667,9,3.4444,-5.1111,10.8889,-5.7778,9,0.63047,-2.048,6
152,155,0,0,0,0.5,0.61111,10.7778,131.8074,7.2963,5.3333,11,5.5556,-5.8889,11.1111,-5.2222,11,0.5,-2.1156,6
208,34,0,0,0,1.7222,1.731,0.44444,0.50185,14.4444,10.7778,21,11.5556,-11,19.6667,-8.6667,21,0.47996,-2.1624,6
123,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
223,62,0,0,0,0.33333,0.29814,0.44444,0.50185,6.4444,4.1111,11.4444,3.7778,-7,15,-8,11.4444,0.67037,-2.0487,6
184,145,0,0,0,0.72222,0.61162,0.22222,0.27217,0.55556,0.33333,1.2222,0.11111,-0.66667,2,-1.3333,1.2222,0.52778,-1.9209,6
225,58,0,0,0,0.33333,0.42164,0.44444,0.34427,8.3333,5.5556,14.1111,5.3333,-8.3333,17.3333,-9,14.1111,0.62222,-2.0686,6
160,41,0,0,0,0.83333,0.80966,0.22222,0.17213,0.7037,0.55556,1.2222,0.33333,-0.44444,1.5556,-1.1111,1.2222,0.53704,-1.8451,6
160,110,0,0,0,0.83333,0.69121,0.44444,0.27217,31.6296,27.2222,39.3333,28.3333,-13.2222,23.1111,-9.8889,39.3333,0.30744,-2.1872,6
252,137,0,0,0,0.88889,0.54433,0.61111,0.71233,0.74074,0.33333,1.7778,0.11111,-1.2222,3.1111,-1.8889,1.7778,0.75,-2.0076,6
206,61,0,0,0,0.55556,0.40369,0.5,0.45947,7.0741,4.6667,12.2222,4.3333,-7.2222,15.4444,-8.2222,12.2222,0.64589,-2.0487,6
90,134,0,0,0,0.38889,0.018519,0.94444,0.15185,2.1111,1,4.6667,0.66667,-3.3333,7.6667,-4.3333,4.6667,0.88148,-2.0131,6
86,197,0,0.11111,0.11111,1.6111,1.4517,1.2778,1.1039,63.2222,56.2222,77.7778,55.6667,-21,43.6667,-22.6667,77.7778,0.28533,-2.068,4
4,189,0,0,0,2.0556,3.8852,11.7222,114.5963,26.4444,23.4444,33,22.8889,-9,19.6667,-10.6667,33,0.27147,-2.101,4
252,201,0,0,0,4.6111,5.4951,5.5556,5.7953,40.2963,35.7778,49,36.1111,-13.5556,26.1111,-12.5556,49,0.27537,-2.1758,4
219,176,0,0,0.11111,2.1111,1.8579,5.1111,2.8415,60.2963,53.3333,75.6667,51.8889,-20.8889,46.1111,-25.2222,75.6667,0.31446,-2.0306,4
205,190,0,0,0,1.2778,0.99815,1.6111,1.1238,49.4815,44.7778,60.6667,43,-14.1111,33.5556,-19.4444,60.6667,0.29079,-1.9876,4
87,196,0,0.11111,0,1.3333,0.86923,2.2222,1.6689,61.5926,55,75.6667,54.1111,-19.7778,42.2222,-22.4444,75.6667,0.28753,-2.0487,4
77,185,0,0,0,2.9444,7.663,6.2222,32.1185,32.5556,29.2222,39.6667,28.7778,-10,21.3333,-11.3333,39.6667,0.27036,-2.0853,4
198,183,0,0,0,1.0556,1.1816,3.3889,1.5975,54.037,48.8889,66.5556,46.6667,-15.4444,37.5556,-22.1111,66.5556,0.29862,-1.975,4
182,186,0,0.11111,0,3.6667,2.044,1.7778,1.2413,48.4444,43.7778,59.8889,41.6667,-14,34.3333,-20.3333,59.8889,0.30452,-1.9731,4
4,201,0,0,0.22222,2.7222,1.6788,5.2222,3.1246,53.7037,47.1111,67.2222,46.7778,-19.7778,40.5556,-20.7778,67.2222,0.30886,-2.0752,4
250,176,0,0,0.11111,1.6111,1.0628,3.4444,1.6953,53.6667,47.1111,67.6667,46.2222,-19.6667,42,-22.3333,67.6667,0.31814,-2.0523,4
244,194,0,0,0,1.7222,1.1434,2.2778,2.0376,49.7407,44.4444,61.6667,43.1111,-15.8889,35.7778,-19.8889,61.6667,0.30085,-2.0218,4
229,195,0,0,0,4.1667,2.2779,4.1111,2.2476,47.7037,42.4444,58.8889,41.7778,-15.7778,33.5556,-17.7778,58.8889,0.29028,-2.0527,4
118,180,0,0,0,1.9444,1.482,3.1111,1.0887,48.5556,44.1111,59,42.5556,-13.3333,31.3333,-18,59,0.27882,-1.996,4
71,180,0,0.11111,0,1.2222,0.56296,3,1.8667,22.3333,18.3333,21.4444,27.2222,-12,-2.6667,14.6667,27.2222,0.32738,2.4538,3
60,181,0,0.11111,0,1.6667,1.2,2.6667,2.0889,19.6296,17.1111,17.8889,23.8889,-7.5556,-5.2222,12.7778,23.8889,0.28569,2.1891,3
200,250,0,0,0,2.2778,1.4207,1.4444,1.0256,9.2222,6.5556,7.3333,13.7778,-8,-5.6667,13.6667,13.7778,0.56339,2.1929,3
163,166,0,0,0,1.7778,1.0963,2.4444,1.0519,16.963,12.3333,16.3333,22.2222,-13.8889,-1.8889,15.7778,22.2222,0.44621,2.5158,3
186,173,0,0,0,1.4444,0.82963,2.1111,1.9852,17.1481,13.5556,15.5556,22.3333,-10.7778,-4.7778,15.5556,22.3333,0.39643,2.3327,3
2,245,0,0,0,1.8889,2.163,3.1667,3.2778,6.4074,6.2222,6,7,-0.55556,-1.2222,1.7778,7.2222,0.19105,1.7566,3
62,223,0,0,0,2.5,5.7222,1.6667,2.4444,6.6667,4.8889,4.6667,10.4444,-5.3333,-6,11.3333,10.4444,0.59315,2.0466,3
57,177,0,0,0,0.94444,0.55185,1.4444,1.7185,19.5926,15.7778,18.4444,24.5556,-11.4444,-3.4444,14.8889,24.5556,0.35899,2.4133,3
63,220,0,0,0,3.0556,15.263,3.6667,6.0889,8.1852,6.5556,6.4444,11.5556,-4.8889,-5.2222,10.1111,11.5556,0.48672,2.0931,3
117,224,0,0,0,3.0556,2.5597,3.0556,3.0215,20.2593,15.4444,17.7778,27.5556,-14.4444,-7.4444,21.8889,27.5556,0.44152,2.3042,3
233,211,0,0.11111,0,2.6667,6.0889,1.6667,1.7333,15.4444,12.4444,15.2222,18.6667,-9,-0.66667,9.6667,18.6667,0.33542,2.555,3
29,195,0,0,0,0.44444,0.40369,0.61111,0.68041,16.037,14.4444,13.3333,20.3333,-4.7778,-8.1111,12.8889,20.3333,0.34231,1.943,3
72,191,0,0.11111,0,1.2778,0.50741,3.1111,4.6074,15.1852,12.1111,14.8889,18.5556,-9.2222,-0.88889,10.1111,18.5556,0.35037,2.5453,3
233,184,0,0,0,0.5,0.077778,0.77778,0.78519,11.8519,9.7778,9.8889,15.8889,-6.2222,-5.8889,12.1111,15.8889,0.40556,2.1286,3
36,243,0,0.11111,0,1.8889,1.8519,2,0.71111,13.3333,9.8889,12.1111,18,-10.3333,-3.6667,14,18,0.45223,2.3683,3
186,218,0,0,0,1.1667,0.74444,1.1667,0.65556,13.7037,10.6667,12.6667,17.7778,-9.1111,-3.1111,12.2222,17.7778,0.40135,2.3827,3
197,236,0,0,0,2.4444,6.8296,3.3333,7.6,16.0741,13.1111,16.6667,18.4444,-8.8889,1.7778,7.1111,18.5556,0.29273,2.7898,3
223,185,0,0,0,0.5,0.3496,2.3889,2.0808,12.963,11.5556,9.7778,17.5556,-4.2222,-9.5556,13.7778,17.5556,0.44542,1.8388,3
110,189,0,0,0,1,0.66667,1.2222,1.1863,12.9259,10.8889,9.2222,18.6667,-6.1111,-11.1111,17.2222,18.6667,0.50814,1.9109,3
86,187,0,0,0,1.1111,0.72008,1.4444,0.75031,13.7407,11.6667,10.3333,19.2222,-6.2222,-10.2222,16.4444,19.2222,0.46333,1.9415,3
157,221,0,0,0,1.0556,0.64693,1.2222,0.62063,12.1111,10.2222,8.1111,18,-5.6667,-12,17.6667,18,0.54918,1.8771,3
44,233,0,0,0,2.2222,2.1465,2.1111,1.3278,14.4815,12.5556,11.3333,19.5556,-5.7778,-9.4444,15.2222,19.5556,0.42217,1.9504,3
17,229,0,0,0,2.1111,1.9851,2.4444,1.6147,13.7037,11.2222,11.1111,18.7778,-7.4444,-7.7778,15.2222,18.7778,0.43985,2.0999,3
55,209,0,0.11111,0,1.8333,1.2953,1.3889,0.99815,12.5185,10.3333,10.3333,16.8889,-6.5556,-6.5556,13.1111,16.8889,0.4079,2.0992,3
138,203,0,0,0,1.6667,1.6465,2.2778,1.8787,11.2593,8.7778,8.1111,16.8889,-7.4444,-9.4444,16.8889,16.8889,0.53895,2.0197,3
245,238,0,0.11111,0,1.6667,2.5386,2.3333,2.4404,8.9259,6.3333,6.5556,13.8889,-7.7778,-7.1111,14.8889,13.8889,0.59701,2.1261,3
146,201,0,0,0,0.61111,0.32773,1.0556,0.80046,10.6667,8.6667,7,16.3333,-6,-11,17,16.3333,0.57085,1.9093,3
245,176,0,0,0,1,0.5164,1,0.55777,18.4815,15.1111,17,23.3333,-10.1111,-4.4444,14.5556,23.3333,0.35207,2.3322,3
228,182,0,0.11111,0,0.88889,0.68853,0.77778,0.65546,16.7778,14.5556,12.7778,23,-6.6667,-12,18.6667,23,0.44436,1.9164,3
80,203,0,0,0,1.3889,0.74287,1.9444,1.5263,12.4074,10,9,18.2222,-7.2222,-10.2222,17.4444,18.2222,0.51444,1.9867,3
85,223,0,0.11111,0,1.7778,1.047,1.9444,1.5117,14.7407,12.6667,11.5556,20,-6.2222,-9.5556,15.7778,20,0.42312,1.9665,3
162,237,0,0.11111,0,2.2778,1.1434,2.6667,2.5647,13.2222,10.8889,10,18.7778,-7,-9.6667,16.6667,18.7778,0.47283,1.9904,3
215,219,0,0,0,2.5556,2.2377,3.2222,2.4915,13.2222,10.3333,10.2222,19.1111,-8.6667,-9,17.6667,19.1111,0.4946,2.0861,3
217,245,0,0.11111,0.11111,3.1667,3.0166,2.1667,1.2428,9.7407,7.4444,7.1111,14.6667,-6.8889,-7.8889,14.7778,14.6667,0.57277,2.0695,3
163,210,0,0,0,1.5556,0.54433,1.5,0.96032,11.8519,9.3333,8.8889,17.3333,-7.5556,-8.8889,16.4444,17.3333,0.48874,2.0437,3
4,188,0,0,0,1.5556,0.68853,2.3333,0.76012,15.7407,13.3333,14,19.8889,-7.2222,-5.2222,12.4444,19.8889,0.34241,2.2047,3
158,195,0,0,0,2.4444,2.3444,2.8333,1.7224,11.7037,9.4444,8.5556,17.1111,-6.7778,-9.4444,16.2222,17.1111,0.51772,2.0112,3
223,185,0,0,0,0.5,0.3496,2.3889,2.0808,12.963,11.5556,9.7778,17.5556,-4.2222,-9.5556,13.7778,17.5556,0.44542,1.8388,3
10,223,0,0.11111,0,1.5,1.0698,3.5556,2.9489,15.037,13.7778,12.8889,18.4444,-3.7778,-6.4444,10.2222,18.4444,0.33067,1.9109,3
175,212,0,0.11111,0,1,0.66667,1.8333,1.3458,12.2963,10,9,17.8889,-6.8889,-9.8889,16.7778,17.8889,0.49876,1.9745,3
170,226,0,0,0,1.5556,1.4247,2.3889,1.2896,11.8889,10.1111,8,17.5556,-5.3333,-11.6667,17,17.5556,0.54833,1.8725,3
75,226,0,0,0,2.2222,0.65546,1.6111,1.0202,16.7037,15.3333,13,21.7778,-4.1111,-11.1111,15.2222,21.7778,0.40475,1.8223,3
2,198,0,0.11111,0,0.88889,0.62063,1.9444,1.3567,12.1852,9.6667,10.5556,16.3333,-7.5556,-4.8889,12.4444,16.3333,0.41577,2.2213,3
85,225,0,0,0,1.5,1.0055,1.6111,1.2896,16.1852,14.4444,12.7778,21.3333,-5.2222,-10.2222,15.4444,21.3333,0.40115,1.891,3
165,186,0,0,0,2.5556,1.5729,2,1.1738,49.5185,45.1111,61.1111,42.3333,-13.2222,34.7778,-21.5556,61.1111,0.30726,-1.9408,4
64,176,0,0,0,2.3333,0.91894,1,0.91894,50.7778,46,62.3333,44,-14.3333,34.6667,-20.3333,62.3333,0.29406,-1.9809,4
135,185,0,0.11111,0,2.2222,2.81,2.2778,1.2896,47.963,44.1111,57.3333,42.4444,-11.5556,28.1111,-16.5556,57.3333,0.25919,-1.9821,4
183,185,0,0,0,2.8889,1.4246,5.7778,5.5564,44.963,40.6667,55,39.2222,-12.8889,30.1111,-17.2222,55,0.28574,-2.005,4
253,192,0,0,0,2.1667,2.0083,2.5556,1.5444,47.5185,42.3333,59.2222,41,-15.5556,35.1111,-19.5556,59.2222,0.30747,-2.0202,4
54,176,0,0,0,2.1111,0.68853,2.6667,2.6916,50.6667,46,62.6667,43.3333,-14,36,-22,62.6667,0.30857,-1.9514,4
250,196,0,0,0,1.5,1.5019,2.2778,1.2187,47.7778,42.6667,58.7778,41.8889,-15.3333,33,-17.6667,58.7778,0.28914,-2.046,4
217,195,0,0,0,4.2222,3.2841,2.3889,2.102,45.0741,39.6667,55.5556,40,-16.2222,31.4444,-15.2222,55.5556,0.29296,-2.1186,4
65,176,0,0,0,2.8889,1.4707,1.5,1.169,49.7407,45.2222,61,43,-13.5556,33.7778,-20.2222,61,0.29479,-1.9657,4
77,177,0,0,0,1.3333,1.3333,2.1667,1.9748,48.4074,44.2222,59.3333,41.6667,-12.5556,32.7778,-20.2222,59.3333,0.29743,-1.9404,4
223,190,0,0,0,2,1.0328,2.0556,1.4669,46.8889,42,57.7778,40.8889,-14.6667,32.6667,-18,57.7778,0.29223,-2.0251,4
188,190,0,0,0,1.9444,0.97563,2.0556,1.1039,48.8889,44.2222,60,42.4444,-14,33.3333,-19.3333,60,0.29231,-1.9863,4
205,190,0,0,0,1.2778,0.99815,1.6111,1.1238,49.4815,44.7778,60.6667,43,-14.1111,33.5556,-19.4444,60.6667,0.29079,-1.9876,4
147,182,0,0,0,2.2778,1.7051,2.9444,1.5975,43.5926,40.3333,52.5556,37.8889,-9.7778,26.8889,-17.1111,52.5556,0.27867,-1.9192,4
70,177,0,0,0,2.1667,1.0698,1.6667,1.1738,49.4444,45,61,42.3333,-13.3333,34.6667,-21.3333,61,0.30596,-1.9427,4
227,196,0,0,0,2.6111,2.3609,3.5556,1.6953,47.1852,42.1111,58.2222,41.2222,-15.2222,33.1111,-17.8889,58.2222,0.29247,-2.0395,4
185,186,0,0,0,2.1667,1.8589,3,1.3499,48.2222,44,58.8889,41.7778,-12.6667,32,-19.3333,58.8889,0.29043,-1.956,4
248,200,0,0,0,1.3889,0.95258,1.7778,1.1675,46.1111,41.3333,56.5556,40.4444,-14.3333,31.3333,-17,56.5556,0.28666,-2.038,4
228,191,0,0,0,1.4444,0.62063,2.3333,1.1926,49.2222,44,60.5556,43.1111,-15.6667,34,-18.3333,60.5556,0.28958,-2.0405,4
102,179,0,0.11111,0,1.8333,1.5312,2.4444,1.8817,49.1852,44.8889,59.7778,42.8889,-12.8889,31.7778,-18.8889,59.7778,0.28269,-1.9704,4
235,196,0,0,0,1.6667,1.3333,2.2222,1.1483,47.2593,41.7778,58.5556,41.4444,-16.4444,33.8889,-17.4444,58.5556,0.29424,-2.0746,4
110,182,0,0,0,2.3889,1.794,2.5556,1.5587,46.3704,42.6667,56.3333,40.1111,-11.1111,29.8889,-18.7778,56.3333,0.28765,-1.93,4
209,191,0,0,0.11111,3.0556,2.3038,5.7222,6.0715,48.2222,43.8889,58.6667,42.1111,-13,31.3333,-18.3333,58.6667,0.27976,-1.9649,4
133,181,0,0,0,2.3889,2.1645,4.7778,2.8649,41.2593,37.7778,49.5556,36.4444,-10.4444,24.8889,-14.4444,49.5556,0.26562,-1.9984,4
227,195,0,0.11111,0,2.5,2.2386,3.5,2.8887,47.7407,42.7778,58.5556,41.8889,-14.8889,32.4444,-17.5556,58.5556,0.28449,-2.039,4
142,183,0,0.11111,0,1,0.86923,1.5556,1.4857,43.1852,40.2222,52,37.3333,-8.8889,26.4444,-17.5556,52,0.28154,-1.8877,4
167,190,0,0,0,3.0556,0.85418,5.0556,2.7842,51.0741,44.8889,63.2222,45.1111,-18.5556,36.4444,-17.8889,63.2222,0.29896,-2.1127,4
23,172,0,0,0,1.3333,0.89443,9.1667,5.8566,42.3333,38,51.2222,37.7778,-13,26.6667,-13.6667,51.2222,0.26545,-2.1266,4
142,185,0,0.11111,0,2.2778,1.7691,3.1111,1.1675,47.8148,43.8889,58.2222,41.3333,-11.7778,31.2222,-19.4444,58.2222,0.28914,-1.9379,4
233,197,0,0,0.11111,3.8889,2.7862,2,1.2649,49.7407,44.3333,61.4444,43.4444,-16.2222,35.1111,-18.8889,61.4444,0.29466,-2.0434,4
234,194,0,0,0.22222,1.4444,1.9513,3.8333,3.0894,48.6296,43,60.3333,42.5556,-16.8889,35.1111,-18.2222,60.3333,0.29837,-2.0719,4
142,182,0,0.11111,0,1.1111,0.83444,2.7778,2.0512,43.6296,40.3333,52.8889,37.6667,-9.8889,27.7778,-17.8889,52.8889,0.28686,-1.905,4
174,188,0,0,0,2.8889,2.8803,3.6111,2.2352,50.4074,45.4444,62,43.7778,-14.8889,34.7778,-19.8889,62,0.29399,-1.9951,4
252,195,0,0,0,2.6111,2.0914,3.7222,2.2052,47.6667,42.4444,58.7778,41.7778,-15.6667,33.3333,-17.6667,58.7778,0.28879,-2.0517,4
149,185,0,0,0,1.5556,1.0681,3.0556,1.9255,49.3333,45.3333,59.5556,43.1111,-12,30.6667,-18.6667,59.5556,0.27589,-1.9528,4
182,186,0,0.11111,0,3.6667,2.044,1.7778,1.2413,48.4444,43.7778,59.8889,41.6667,-14,34.3333,-20.3333,59.8889,0.30452,-1.9731,4
10,172,0,0,0,4.2778,4.389,6.6667,7.3606,44.7778,40.3333,54.6667,39.3333,-13.3333,29.6667,-16.3333,54.6667,0.27804,-2.0525,4
229,195,0,0,0,4.1667,2.2779,4.1111,2.2476,47.7037,42.4444,58.8889,41.7778,-15.7778,33.5556,-17.7778,58.8889,0.29028,-2.0527,4
240,192,0,0,0,2.3889,0.64693,4.3889,2.3797,45.963,40.5556,58.1111,39.2222,-16.2222,36.4444,-20.2222,58.1111,0.32561,-2.0166,4
236,194,0,0,0,2.6667,1.9322,2.4444,1.7971,50.1111,44.2222,62.4444,43.6667,-17.6667,37,-19.3333,62.4444,0.30067,-2.0643,4
117,181,0,0.11111,0,1.8333,1.2428,3,2.0548,46.8889,43,56.8889,40.7778,-11.6667,30,-18.3333,56.8889,0.28329,-1.9491,4
9,171,0,0,0,1.5,1.0055,2.7778,1.642,45.9259,41,57.2222,39.5556,-14.7778,33.8889,-19.1111,57.2222,0.30794,-2.0107,4
205,194,0,0,0,1.6111,1.2003,5.3889,3.0435,41.2963,37.1111,50.4444,36.3333,-12.5556,27.4444,-14.8889,50.4444,0.28056,-2.0376,4
62,177,0,0,0,1.2778,0.87981,1.6667,0.94281,51.0741,46.3333,63.1111,43.7778,-14.2222,36.1111,-21.8889,63.1111,0.30621,-1.956,4
2,171,0,0,0,1.9444,1.2187,3.6667,3.1269,45.7778,41,56.3333,40,-14.3333,31.6667,-17.3333,56.3333,0.28798,-2.0329,4
32,173,0,0,0,1.7222,1.7816,9,6.7495,43.5926,39.5556,52.8889,38.3333,-12.1111,27.8889,-15.7778,52.8889,0.26691,-1.9989,4
205,190,0,0,0,1.2778,0.99815,1.6111,1.1238,49.4815,44.7778,60.6667,43,-14.1111,33.5556,-19.4444,60.6667,0.29079,-1.9876,4
204,194,0,0,0,2.6111,1.9255,5.1111,3.4167,41.037,37,49.7778,36.3333,-12.1111,26.2222,-14.1111,49.7778,0.27541,-2.0452,4
225,36,0,0,0,0.44444,0.27217,0.38889,0.32773,7.9259,5,13.6667,5.1111,-8.7778,17.2222,-8.4444,13.6667,0.63492,-2.1073,6
242,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
